No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	-2.64%	-3.99%	-1.99%	-15.18%	46.12%	-13.80%	1.74	46.56M	0.99	-2.82%	45.93M
2	Aerospace & Defense	0.47%	5.19%	11.77%	23.25%	31.38%	22.33%	1.84	149.11M	1.05	-0.05%	156.11M
3	Agricultural Inputs	-3.18%	3.42%	18.32%	25.71%	23.38%	23.76%	2.09	19.71M	0.92	-0.72%	18.11M
4	Airlines	2.61%	0.77%	2.02%	-8.97%	-3.21%	-9.86%	1.74	141.99M	1.21	-1.99%	172.35M
5	Airports & Air Services	-0.06%	-0.21%	15.18%	18.58%	26.45%	18.13%	2.50	22.29M	0.84	0.13%	18.82M
6	Aluminum	-2.27%	4.14%	-8.69%	-12.57%	-26.36%	-14.76%	1.60	10.32M	0.60	-1.65%	6.18M
7	Apparel Manufacturing	0.57%	-4.90%	-2.55%	-17.59%	-6.83%	-18.00%	2.19	49.39M	0.65	-1.19%	31.93M
8	Apparel Retail	-0.75%	-7.21%	-3.23%	-11.69%	-4.91%	-12.33%	1.82	58.52M	0.77	-1.32%	45.31M
9	Asset Management	4.03%	4.54%	1.88%	-3.41%	1.14%	-4.97%	1.98	156.14M	0.71	-0.14%	111.40M
10	Auto & Truck Dealerships	4.33%	4.91%	13.80%	9.67%	44.80%	12.86%	1.97	22.21M	0.74	-2.01%	16.41M
11	Auto Manufacturers	2.20%	-3.68%	6.02%	-17.53%	35.45%	-14.70%	2.40	506.63M	0.84	-2.83%	424.25M
12	Auto Parts	-0.47%	-2.78%	-0.86%	5.12%	4.67%	4.40%	1.85	102.09M	2.57	-1.23%	262.61M
13	Banks - Diversified	3.96%	5.37%	7.99%	19.83%	35.74%	17.55%	1.85	142.15M	0.82	0.19%	116.92M
14	Banks - Regional	3.37%	2.68%	5.80%	9.87%	26.38%	9.15%	1.86	365.21M	0.95	-0.32%	347.80M
15	Beverages - Brewers	-2.39%	-5.00%	3.09%	13.61%	0.19%	15.73%	1.77	40.67M	1.74	-2.22%	70.67M
16	Beverages - Non-Alcoholic	-0.38%	-1.58%	-2.07%	3.37%	-0.68%	3.03%	1.90	63.79M	0.84	-1.44%	53.74M
17	Beverages - Wineries & Distilleries	-1.65%	-11.19%	-8.27%	-24.53%	-27.38%	-23.18%	2.59	13.41M	4.27	-1.22%	57.32M
18	Biotechnology	1.98%	4.36%	-3.65%	-3.25%	-11.00%	-3.66%	1.55	592.85M	0.84	-0.81%	496.92M
19	Broadcasting	3.19%	-5.92%	-37.69%	-25.51%	-18.65%	-26.02%	1.95	24.42M	0.58	-2.02%	14.17M
20	Building Materials	-0.91%	-5.08%	-1.48%	-4.91%	6.53%	-3.96%	1.71	30.25M	0.81	-2.73%	24.41M
21	Building Products & Equipment	2.56%	2.02%	7.64%	4.13%	10.93%	4.78%	2.13	38.76M	0.79	-0.49%	30.48M
22	Business Equipment & Supplies	-1.12%	-1.70%	-7.03%	-21.70%	-19.75%	-21.06%	1.00	1.24M	0.79	-1.96%	986.16K
23	Capital Markets	5.84%	11.51%	16.18%	21.80%	46.09%	19.52%	1.99	332.70M	1.27	0.47%	420.92M
24	Chemicals	-5.44%	-1.72%	-18.15%	-28.75%	-50.40%	-30.63%	2.52	30.08M	1.01	-2.12%	30.31M
25	Coking Coal	-9.98%	-7.60%	-14.82%	-33.91%	-44.42%	-32.17%	1.94	3.01M	1.40	-3.56%	4.23M
26	Communication Equipment	4.42%	6.36%	9.21%	8.85%	36.46%	7.43%	2.07	147.16M	1.57	0.22%	230.58M
27	Computer Hardware	4.92%	5.93%	14.40%	1.40%	-3.45%	-0.60%	1.78	280.61M	0.83	0.94%	232.55M
28	Confectioners	0.89%	2.96%	3.48%	9.96%	-0.80%	9.24%	2.19	9.86M	0.76	-1.90%	7.53M
29	Conglomerates	1.32%	0.18%	1.09%	2.68%	13.11%	2.47%	2.07	15.95M	0.78	-1.32%	12.44M
30	Consulting Services	-0.39%	-3.28%	2.30%	-0.02%	-2.00%	0.06%	2.27	5.94M	0.98	-1.08%	5.80M
31	Consumer Electronics	2.75%	2.98%	-9.51%	-17.98%	-1.13%	-18.25%	2.02	73.18M	0.65	0.60%	47.51M
32	Copper	1.34%	6.37%	-2.22%	9.09%	-11.05%	9.64%	2.43	40.07M	0.81	-0.23%	32.49M
33	Credit Services	-0.56%	1.32%	3.57%	6.86%	28.00%	6.24%	1.83	142.39M	0.87	-1.04%	123.35M
34	Department Stores	-1.56%	-0.66%	-3.53%	-20.31%	-28.75%	-22.53%	3.66	18.20M	0.73	0.84%	13.30M
35	Diagnostics & Research	2.95%	7.12%	-6.36%	-10.33%	-15.64%	-11.28%	1.69	56.35M	0.88	0.72%	49.79M
36	Discount Stores	2.34%	0.32%	11.45%	3.74%	25.95%	6.98%	1.68	44.49M	0.59	-0.96%	26.09M
37	Drug Manufacturers - General	-1.02%	2.92%	-6.59%	-0.90%	-12.46%	-0.33%	1.98	146.86M	0.67	-0.23%	98.74M
38	Drug Manufacturers - Specialty & Generic	-8.51%	0.94%	4.26%	1.51%	4.27%	0.88%	1.82	128.27M	0.80	-0.67%	102.21M
39	Education & Training Services	2.05%	0.07%	7.14%	9.24%	15.53%	6.88%	1.78	35.01M	0.55	-1.98%	19.37M
40	Electrical Equipment & Parts	3.40%	10.16%	15.19%	-2.01%	11.39%	-1.23%	1.81	166.54M	0.54	-0.73%	89.21M
41	Electronic Components	4.91%	13.32%	25.40%	26.13%	34.24%	26.08%	1.75	45.71M	1.28	1.17%	58.37M
42	Electronic Gaming & Multimedia	2.70%	13.16%	30.16%	37.68%	56.71%	39.52%	1.74	20.17M	0.69	-0.84%	14.01M
43	Electronics & Computer Distribution	4.55%	7.89%	5.88%	3.49%	-4.53%	5.11%	2.30	3.29M	1.16	0.01%	3.80M
44	Engineering & Construction	2.37%	7.14%	24.53%	12.98%	27.69%	14.16%	1.68	27.25M	1.23	-0.56%	33.60M
45	Entertainment	3.32%	7.62%	20.50%	24.51%	54.05%	25.34%	1.72	152.14M	0.81	-0.17%	122.53M
46	Farm & Heavy Construction Machinery	0.90%	3.72%	5.59%	6.75%	15.51%	6.58%	2.24	32.14M	0.83	-0.77%	26.67M
47	Farm Products	-2.21%	4.17%	5.00%	0.58%	-8.87%	0.33%	2.56	17.01M	0.67	-1.46%	11.47M
48	Financial Conglomerates	-0.12%	-0.99%	-2.00%	3.40%	6.10%	1.88%	1.93	2.98M	0.59	-1.27%	1.76M
