No.	Name	Stocks	Market Cap	Dividend	P/E	Fwd P/E	PEG	Float Short	Change	Volume
1	Advertising Agencies	42	190.88B	0.86%	37.95	20.22	1.25	6.69%	-1.96%	132.08M
2	Aerospace & Defense	75	1466.58B	0.87%	42.84	29.46	2.90	4.26%	1.73%	373.16M
3	Agricultural Inputs	16	124.98B	2.33%	30.67	16.38	2.89	1.86%	0.11%	21.82M
4	Airlines	18	145.92B	1.22%	11.80	8.42	0.64	6.72%	1.04%	143.77M
5	Airports & Air Services	9	35.11B	4.73%	24.19	17.87	1.91	7.88%	0.24%	57.66M
6	Aluminum	4	12.27B	1.27%	11.28	9.22	0.26	5.50%	-3.17%	16.96M
7	Apparel Manufacturing	27	61.23B	1.25%	28.85	16.77	2.30	9.29%	0.92%	63.15M
8	Apparel Retail	33	259.77B	1.24%	17.72	19.19	2.31	5.74%	0.97%	89.45M
9	Asset Management	134	1293.19B	2.38%	28.31	17.45	2.04	2.70%	1.06%	222.22M
10	Auto & Truck Dealerships	28	146.00B	0.28%	28.89	21.14	0.76	6.88%	2.06%	38.10M
11	Auto Manufacturers	32	1608.00B	1.02%	26.07	23.63	1.90	5.47%	0.27%	646.44M
12	Auto Parts	56	282.73B	0.86%	21.54	15.24	1.93	6.69%	0.90%	284.50M
13	Banks - Diversified	19	3079.34B	3.10%	13.12	11.00	1.18	0.43%	-0.01%	173.66M
14	Banks - Regional	345	1654.39B	3.13%	14.35	10.52	1.03	1.34%	0.20%	659.34M
15	Beverages - Brewers	7	220.73B	3.14%	22.61	14.39	2.31	0.44%	-0.52%	49.53M
16	Beverages - Non-Alcoholic	17	677.22B	2.88%	26.07	19.62	3.70	1.70%	1.04%	128.79M
17	Beverages - Wineries & Distilleries	13	82.37B	3.33%	18.45	17.78	75.95	3.12%	0.06%	11.68M
18	Biotechnology	646	805.21B	0.10%	55.53	32.48	2.98	11.44%	-0.85%	1.36B
19	Broadcasting	14	12.04B	3.30%	7.94	7.13	-	6.61%	-0.45%	36.27M
20	Building Materials	17	174.17B	1.08%	21.34	16.89	1.86	2.91%	2.25%	37.27M
21	Building Products & Equipment	35	376.66B	1.00%	24.68	20.75	2.26	3.23%	0.79%	65.51M
22	Business Equipment & Supplies	4	1.15B	4.59%	29.54	11.85	-	2.62%	0.18%	1.44M
23	Capital Markets	73	976.11B	1.56%	21.86	17.74	1.68	5.12%	-0.43%	576.27M
24	Chemicals	17	37.76B	6.46%	43.81	16.43	10.71	5.73%	-0.26%	42.52M
25	Coking Coal	5	4.98B	1.66%	22.19	7.59	1.09	9.29%	4.08%	6.47M
26	Communication Equipment	49	529.01B	1.91%	33.42	17.95	3.98	2.02%	-0.01%	204.15M
27	Computer Hardware	34	398.15B	0.78%	28.73	20.24	1.37	8.20%	-1.17%	323.26M
28	Confectioners	4	124.55B	2.66%	26.31	23.81	-	2.19%	0.02%	14.45M
29	Conglomerates	24	253.34B	1.97%	22.82	19.13	3.03	2.64%	0.92%	34.08M
30	Consulting Services	17	100.65B	0.70%	32.50	25.87	2.68	2.52%	0.63%	12.59M
31	Consumer Electronics	18	3167.26B	0.52%	30.69	25.40	4.09	0.64%	0.18%	92.24M
32	Copper	7	154.58B	2.20%	28.04	20.41	2.11	2.59%	-1.74%	46.71M
33	Credit Services	52	1733.86B	0.77%	28.45	20.90	2.00	4.20%	0.85%	183.77M
34	Department Stores	3	10.52B	5.01%	9.75	13.00	-	19.18%	1.15%	31.44M
35	Diagnostics & Research	51	614.81B	0.39%	33.81	20.85	3.55	4.98%	-0.50%	94.37M
36	Discount Stores	9	1333.67B	0.90%	40.83	33.56	4.48	1.60%	0.91%	52.60M
37	Drug Manufacturers - General	20	3034.23B	3.01%	24.53	13.07	1.21	1.09%	-0.75%	209.66M
38	Drug Manufacturers - Specialty & Generic	83	302.69B	1.58%	34.58	13.77	2.16	2.55%	-0.63%	168.65M
39	Education & Training Services	44	53.10B	0.52%	21.63	17.45	1.30	4.71%	0.73%	45.67M
40	Electrical Equipment & Parts	47	123.61B	0.54%	35.86	22.15	1.94	13.83%	0.97%	218.78M
