
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Advertising Agencies	196.20B	39.01	20.75	1.30	2.82	8.26	14.02	22.78	56.77%	30.11%	27.87%	0.33%	21.07M
2	Aerospace & Defense	1446.46B	42.25	29.04	2.88	2.95	7.01	22.72	45.78	20.81%	14.65%	3.62%	-0.41%	65.99M
3	Agricultural Inputs	129.04B	31.66	16.92	2.98	1.66	1.68	21.42	20.33	3.21%	10.62%	4.38%	1.76%	4.70M
4	Airlines	150.04B	12.13	8.71	0.65	0.55	2.49	2.81	11.43	-6.14%	18.55%	6.15%	1.62%	39.10M
5	Airports & Air Services	36.20B	24.94	18.21	1.98	4.77	5.12	9.92	28.26	21.45%	12.58%	13.42%	0.99%	16.29M
6	Aluminum	13.36B	12.27	10.03	0.28	0.52	1.66	8.82	38.38	-5.08%	43.80%	4.20%	4.24%	4.06M
7	Apparel Manufacturing	63.17B	29.76	17.31	2.40	0.96	3.52	9.41	14.99	11.22%	12.41%	1.70%	1.38%	20.30M
8	Apparel Retail	266.52B	18.18	19.69	2.37	1.57	7.11	17.34	28.63	11.86%	7.68%	7.72%	0.42%	25.52M
9	Asset Management	1308.12B	28.61	17.62	2.05	3.63	3.49	11.52	21.49	5.25%	13.95%	18.32%	0.70%	46.22M
10	Auto & Truck Dealerships	154.37B	30.58	22.37	0.80	0.72	4.15	24.91	37.97	15.92%	38.24%	18.63%	1.55%	6.51M
11	Auto Manufacturers	1577.20B	25.57	23.12	1.88	1.36	2.56	5.78	87.88	22.41%	13.61%	28.30%	2.98%	276.67M
12	Auto Parts	290.51B	22.13	15.65	1.98	1.03	3.92	16.48	21.14	5.19%	11.19%	8.46%	0.29%	46.10M
13	Banks - Diversified	3129.83B	13.34	11.16	1.19	1.72	1.47	1007.51	16.32	10.00%	11.21%	12.18%	0.57%	56.97M
14	Banks - Regional	1682.78B	14.60	10.69	1.04	1.72	1.38	1381.25	9.75	7.76%	14.05%	15.64%	0.18%	154.66M
15	Beverages - Brewers	227.15B	23.27	14.77	2.36	1.57	1.81	10.45	11.51	-9.55%	9.84%	3.97%	1.14%	15.11M
16	Beverages - Non-Alcoholic	691.73B	26.63	19.93	3.83	3.14	6.98	21.63	46.04	7.47%	6.96%	7.96%	-0.23%	17.08M
17	Beverages - Wineries & Distilleries	86.73B	19.42	18.72	84.02	2.94	5.25	27.79	23.16	0.83%	0.23%	4.15%	1.10%	2.95M
18	Biotechnology	822.74B	56.74	33.19	3.10	8.54	3.63	4.75	57.48	-10.25%	18.31%	46.59%	1.96%	316.50M
19	Broadcasting	13.79B	9.09	8.20	-	0.56	1.48	5.04	4.68	31.03%	-7.32%	31.89%	0.96%	6.67M
20	Building Materials	193.05B	21.52	17.20	1.87	2.26	2.85	31.15	29.64	22.72%	11.50%	6.58%	0.48%	7.89M
21	Building Products & Equipment	384.49B	25.24	21.16	2.28	2.55	5.71	51.61	27.49	12.30%	11.08%	5.71%	0.28%	13.65M
22	Business Equipment & Supplies	1.19B	30.62	12.26	-	0.53	0.75	2.57	7.64	1.33%	-	16.62%	1.18%	276.35K
23	Capital Markets	1010.70B	22.63	18.31	1.75	1.91	2.94	4.49	9.37	13.50%	12.90%	31.93%	1.29%	418.83M
24	Chemicals	39.65B	46.01	17.55	11.06	0.41	1.11	5.00	20.60	16.61%	4.16%	2.35%	2.46%	9.96M
25	Coking Coal	5.59B	24.89	10.95	1.92	0.87	1.20	4.76	14.05	-6.94%	12.93%	7.26%	13.01%	3.49M
26	Communication Equipment	531.76B	33.59	18.02	4.02	2.94	4.22	10.00	21.27	11.68%	8.35%	1.90%	-0.74%	51.45M
27	Computer Hardware	403.03B	29.08	20.48	1.36	1.82	10.10	10.46	26.94	10.69%	21.32%	10.99%	1.27%	125.10M
28	Confectioners	128.53B	27.15	24.61	-	2.68	4.33	38.74	24.53	7.74%	-0.38%	7.05%	0.44%	3.60M
29	Conglomerates	262.81B	23.67	19.82	3.11	2.07	6.55	10.88	35.78	0.79%	7.61%	-0.96%	0.70%	4.22M
30	Consulting Services	101.70B	32.84	26.14	2.70	3.41	9.58	36.80	30.75	18.06%	12.17%	6.46%	-1.23%	1.88M
31	Consumer Electronics	3318.00B	32.15	26.57	4.26	6.54	26.21	45.73	28.54	15.00%	7.55%	8.21%	1.69%	38.70M
32	Copper	161.03B	29.21	21.14	2.18	4.05	5.06	15.79	30.85	17.55%	13.38%	10.36%	4.19%	21.62M
33	Credit Services	1770.19B	28.97	21.33	2.03	5.43	6.30	12.34	18.75	10.41%	14.27%	10.42%	-0.08%	53.30M
34	Department Stores	11.45B	10.60	14.14	-	0.25	1.19	5.10	11.61	31.09%	-20.34%	-0.46%	0.32%	6.83M
35	Diagnostics & Research	630.53B	34.68	21.38	3.65	3.91	3.59	26.00	26.06	9.30%	9.50%	9.85%	0.77%	15.99M
36	Discount Stores	1333.20B	40.82	33.52	4.45	1.15	9.35	44.75	47.09	9.50%	9.17%	7.19%	-0.77%	9.53M
37	Drug Manufacturers - General	3117.91B	25.21	13.42	1.25	4.51	6.32	22.27	19.07	6.27%	20.22%	9.53%	0.62%	44.73M
38	Drug Manufacturers - Specialty & Generic	303.69B	34.70	13.81	2.16	2.29	2.28	11.75	15.54	12.39%	16.03%	8.09%	-0.12%	42.52M
39	Education & Training Services	50.85B	20.71	16.71	1.26	1.61	2.32	3.46	22.59	12.74%	16.49%	8.75%	-3.41%	14.75M
40	Electrical Equipment & Parts	124.17B	35.93	22.27	1.95	3.06	4.99	15.07	27.81	22.04%	18.43%	10.23%	1.22%	75.85M
41	Electronic Components	329.23B	43.80	23.34	2.72	2.31	5.51	21.72	30.76	16.89%	16.08%	7.66%	0.91%	14.18M
42	Electronic Gaming & Multimedia	241.12B	40.03	20.03	1.91	6.55	7.48	8.28	26.68	-21.91%	21.01%	21.33%	-0.08%	6.27M
43	Electronics & Computer Distribution	30.70B	17.98	10.71	1.39	0.25	1.36	15.03	10.26	5.52%	12.92%	8.19%	1.12%	1.03M
44	Engineering & Construction	303.34B	24.38	25.82	1.53	1.56	5.30	17.25	24.87	24.16%	15.88%	10.73%	0.11%	7.21M
45	Entertainment	1080.56B	50.62	34.19	2.44	3.26	4.72	18.89	30.30	17.91%	20.75%	11.66%	-0.69%	47.35M
46	Farm & Heavy Construction Machinery	427.24B	20.21	18.53	13.21	2.08	5.07	16.49	23.47	16.27%	1.53%	4.26%	1.45%	15.11M
47	Farm Products	70.05B	15.66	12.99	2.48	0.33	1.25	6.37	25.30	4.57%	6.32%	6.55%	0.98%	7.24M
48	Financial Conglomerates	44.13B	14.64	2.68	1.02	1.37	1.25	2.90	23.72	4.48%	14.39%	13.55%	-0.06%	675.77K
49	Financial Data & Stock Exchanges	717.24B	39.71	27.52	4.44	9.83	5.60	32.17	28.04	8.99%	8.94%	17.96%	0.27%	10.52M
50	Food Distribution	77.09B	25.82	16.97	1.98	0.32	4.70	34.50	18.02	5.59%	13.02%	9.82%	-0.14%	2.19M
51	Footwear & Accessories	174.18B	27.42	24.85	2.66	2.21	5.99	12.43	20.91	11.24%	10.30%	12.52%	2.52%	41.14M
52	Furnishings, Fixtures & Appliances	60.16B	27.72	14.24	2.44	0.85	2.32	14.05	18.25	3.99%	11.37%	6.83%	2.60%	6.38M
53	Gambling	118.40B	62.93	24.86	2.29	3.47	7.47	15.34	29.32	-20.76%	27.46%	42.09%	-1.19%	12.57M
