
No.	Name	Market Cap	P/E	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS past 5Y	EPS next 5Y	Sales past 5Y	Change	Volume
1	Basic Materials	2119.40B	22.57	15.18	1.95	1.83	2.30	13.61	26.74	11.61%	11.56%	6.70%	2.00%	799.26M
2	Communication Services	9343.41B	34.07	27.00	2.41	4.00	6.26	17.42	23.91	22.85%	14.14%	15.43%	0.05%	571.54M
3	Consumer Cyclical	8595.11B	26.55	21.36	1.55	1.85	4.79	10.82	39.46	19.55%	17.16%	18.24%	0.65%	1.44B
4	Consumer Defensive	4303.96B	27.43	20.62	3.73	1.48	5.12	23.29	25.83	7.53%	7.36%	5.89%	0.06%	463.84M
5	Energy	3493.47B	15.33	12.42	1.46	1.06	1.76	11.86	11.65	16.18%	10.48%	6.57%	1.69%	738.01M
6	Financial	13408.45B	18.94	15.43	1.80	2.28	2.27	10.73	15.17	8.87%	10.52%	13.45%	0.07%	1.89B
7	Healthcare	7464.77B	27.70	16.21	1.76	1.72	4.15	15.52	21.92	6.15%	15.72%	12.84%	-0.52%	1.52B
8	Industrials	6339.06B	27.66	21.94	2.46	2.28	5.16	20.16	30.07	10.96%	11.25%	5.67%	0.36%	827.87M
9	Real Estate	1707.37B	41.34	30.87	2.51	4.44	2.41	24.83	24.37	0.52%	16.46%	10.60%	0.32%	345.97M
10	Technology	23404.19B	41.32	26.90	2.19	7.16	9.91	25.14	38.41	29.77%	18.88%	22.55%	1.34%	2.98B
11	Utilities	1621.30B	19.87	16.06	2.23	2.33	2.09	23.29	83.32	6.44%	8.92%	5.35%	-1.03%	211.42M

