
No.	Name	Perf Week	Perf Month	Perf Quart	Perf Half	Perf Year	Perf YTD	Recom	Avg Volume	Rel Volume	Change	Volume
1	Advertising Agencies	2.05%	-8.94%	14.97%	-14.41%	47.91%	-12.04%	1.74	48.83M	1.10	0.25%	53.49M
2	Aerospace & Defense	1.77%	2.98%	17.14%	22.66%	35.73%	24.49%	1.83	161.83M	0.93	-0.16%	150.71M
3	Agricultural Inputs	4.47%	5.17%	21.80%	29.94%	27.86%	29.30%	2.09	20.03M	0.90	2.47%	17.95M
4	Airlines	5.31%	2.51%	19.61%	-5.93%	2.53%	-4.80%	1.74	141.19M	0.66	1.62%	93.52M
5	Airports & Air Services	6.86%	7.11%	28.94%	21.68%	38.49%	26.23%	2.51	25.17M	1.25	1.58%	31.45M
6	Aluminum	10.81%	14.40%	11.51%	-5.31%	-16.73%	-5.55%	1.66	10.64M	1.16	3.82%	12.31M
7	Apparel Manufacturing	6.21%	1.86%	2.59%	-13.63%	2.89%	-13.26%	2.20	49.86M	0.92	1.65%	45.86M
8	Apparel Retail	3.78%	-5.04%	1.92%	-10.82%	0.39%	-9.01%	1.83	59.87M	1.09	0.60%	65.27M
9	Asset Management	4.45%	7.85%	10.68%	-1.44%	26.76%	-0.27%	1.99	156.41M	0.80	1.23%	124.39M
10	Auto & Truck Dealerships	7.03%	8.39%	26.63%	18.01%	49.85%	20.83%	1.97	22.89M	1.03	2.02%	23.49M
11	Auto Manufacturers	-1.41%	-5.76%	12.27%	-20.28%	26.44%	-15.90%	2.40	499.70M	0.97	3.36%	486.57M
12	Auto Parts	5.45%	3.22%	4.83%	9.11%	11.88%	10.09%	1.85	108.04M	1.12	0.58%	121.12M
13	Banks - Diversified	3.04%	6.72%	16.02%	20.68%	36.38%	21.12%	1.88	145.28M	1.00	0.69%	144.89M
14	Banks - Regional	3.85%	6.06%	13.10%	12.64%	27.18%	13.35%	1.87	380.29M	1.06	0.41%	402.77M
15	Beverages - Brewers	3.65%	-1.56%	5.70%	18.93%	5.27%	19.97%	1.78	42.25M	1.15	1.50%	48.77M
16	Beverages - Non-Alcoholic	3.27%	0.78%	-2.38%	6.08%	2.71%	6.41%	1.91	65.00M	0.90	-0.15%	58.73M
17	Beverages - Wineries & Distilleries	5.89%	-5.12%	-2.22%	-18.86%	-21.16%	-18.66%	2.54	13.32M	0.64	1.46%	8.48M
18	Biotechnology	1.18%	4.45%	5.48%	-3.77%	-10.18%	-2.75%	1.56	618.15M	1.19	1.88%	734.17M
19	Broadcasting	5.61%	1.70%	-60.07%	-22.16%	-19.41%	-21.88%	1.93	24.52M	0.78	1.28%	19.22M
20	Building Materials	4.28%	1.02%	7.75%	-0.64%	12.87%	1.00%	1.78	26.44M	0.79	0.76%	21.02M
21	Building Products & Equipment	3.80%	5.86%	17.27%	7.42%	16.82%	8.63%	2.15	36.26M	1.02	0.64%	37.13M
22	Business Equipment & Supplies	5.18%	3.89%	-2.78%	-17.08%	-15.62%	-16.97%	1.00	1.26M	1.19	1.28%	1.49M
23	Capital Markets	4.84%	15.74%	29.91%	23.68%	51.10%	25.24%	2.06	395.93M	2.24	1.28%	888.74M
24	Chemicals	7.17%	8.11%	-9.54%	-25.20%	-45.72%	-25.65%	2.54	31.51M	1.08	3.12%	34.00M
25	Coking Coal	18.91%	11.80%	2.57%	-18.62%	-33.99%	-19.35%	1.95	3.44M	2.42	12.63%	8.34M
26	Communication Equipment	1.83%	7.66%	12.16%	8.28%	37.44%	9.39%	2.06	156.58M	0.81	-0.19%	126.95M
27	Computer Hardware	5.35%	13.88%	31.91%	2.08%	3.09%	4.73%	1.79	285.62M	0.96	2.86%	274.73M
28	Confectioners	3.92%	4.40%	3.28%	12.46%	4.03%	13.52%	2.20	9.85M	1.05	0.84%	10.33M
29	Conglomerates	6.38%	5.74%	8.67%	7.73%	20.70%	9.02%	2.07	16.42M	0.96	0.28%	15.69M
30	Consulting Services	1.30%	-1.34%	1.89%	0.79%	-1.20%	1.36%	2.27	6.44M	1.07	-1.65%	6.90M
31	Consumer Electronics	5.28%	4.84%	-4.49%	-15.67%	2.40%	-13.94%	1.98	76.24M	1.00	2.16%	76.41M
32	Copper	9.56%	14.70%	18.03%	17.62%	-1.20%	20.12%	2.48	40.37M	1.18	3.82%	47.72M
